Index ,Product Name ,Discounted Price ,Original Price ,Review Counts ,Badge
1,"
            How To Sell Products And Rank 1st On Etsy Search Page, Etsy Shop Seller Help Selling Guide, How To Rank On Etsy Shop Seller Handbook
        ",1.99,6.63,"
                    (19,163)
                ",No badge
2,"
            2000+ Coloring Pages Whole Shop Bundle PLUS Tile Style Posters / Includes Grayscale / Ultra HD images Download ready (evergreen updates)
        ",4.50,14.99,"
                    (21)
                ",No badge
3,"
            Jesus Christ, What a Year! Wall Calendar (2024), New Year Funny Wall Calendar, 2024 Jesus Calendar, Funny Birthday Gift Idea, Planner
        ",24.99,24.99,"
                    (81)
                ",No badge
4,"
            The Ultimate Notion Planner, Notion Template, Notion Planner, Notion Life Planner, Aesthetic Notion Planner, Light and Dark Themes
        ",10.14,20.27,"
                    (10,375)
                ",No badge
5,"
            Concert Journal | Track Favorite Concerts | Music Diary and Logbook (Paperback)
        ",15.00,20.00,"
                    (398)
                ",No badge
6,"
            Personalized Metal Guitar Capo with Wood Grain, Custom Message, Engraved Guitar Pick, Birthday Gift, Fathers days Gift for Guitarists
        ",18.98,29.20,"
                    (2,224)
                ",No badge
7,"
            Custom Wooden Guitar Picks Box,Personalized Guitar Pick Box Storage,Wood Guitar Plectrum Organizer Music,Gift for Guitarist Musician
        ",7.75,17.21,"
                    (12,992)
                ",No badge
8,"
            Reading Journal, Hardcover Reading Planner, Physical Book Journal, Reading Tracker, Book Review Notebook, Monthly Planner, Weekly Planner
        ",42.50,42.50,"
                    (290)
                ","
    Etsy’s Pick
"
9,"
            Personalized Lyric Journal - Songs Inside My Head, Song Writing Music Notebook, Music Gift, Song Writer Gift, Musicians Gift, Song Writing
        ",39.74,52.99,"
                    (240)
                ",No badge
10,"
            Personalized Wooden Guitar Picks Box,Custom Engraved Guitar Pick Box Storage,Guitar Plectrum Organizer,Music Gift for Guitarist Musician
        ",7.75,17.21,"
                    (12,992)
                ",No badge
11,"
            Carnet A5 poppy and leaves, Linocut.
        ",17.01,17.01,"
                    (123)
                ","
    Etsy’s Pick
"
12,"
            Reading Tracker Journal, Book Review Journal, Reading Planner, Book Club Gift, Physical Reading Planner, Book Lover Gift
        ",27.95,27.95,"
                    (290)
                ","
    Etsy’s Pick
"
13,"
            Leather Personalized Journal, Engraved Journal, Personalized Journal for Women, for Men, Leather Planner, a5 Notebook Cover, Dentist Gift
        ",39.75,75.00,"
                    (2,244)
                ",No badge
14,"
            Personalized Leather Music Journal | Musicians Stave Notebook / Song Writing Diary with Music Staff Paper | Music Score | Music Gift for Him
        ",68.97,86.21,"
                    (6,666)
                ",No badge
15,"
            Personalized Music Sketchbook from Vinyl | Gift for Musician | Gift for Music Lover | Music Album | Song Book |  Birthday Gift personalized
        ",56.58,56.58,"
                    (571)
                ","
    Etsy’s Pick
"
16,"
            A Year of Dates: A Box of Date night cards, the perfect Valentines present or paper anniversary gift for him.  A romantic valentines gift
        ",37.21,37.21,"
                    (7,964)
                ","
    Etsy’s Pick
"
17,"
            Ultimate Etsy Success Kit | Etsy Guide | Etsy shop | Etsy planner | Etsy workbook | Etsy seller | How to start an Etsy shop | Etsy workbook
        ",22.20,37.00,"
                    (402)
                ",No badge
18,"
            200 Oil Painting Midjourney Prompts | An Amazing Midjourney Guide Prompt | Just Copy and Paste
        ",3.94,5.25,"
                    (29)
                ",No badge
19,"
            Wooden Book Valet Tray, Wood Nightstand Book Page Holder, Gift for Book Lovers, Unique Book Nook, Gift for Mom, Birthday Gift, Tablet Ipad
        ",72.21,84.95,"
                    (40)
                ",No badge
20,"
            Personalized Coloring Book for Kids - Easter Color Book - Puppies and Kittens Color Book -  Toddler Easter gift idea
        ",14.99,14.99,"
                    (8,562)
                ",No badge
21,"
            Green Guitar Notes And Rad Riffs Notebook
        ",13.45,17.94,"
                    (19,145)
                ",No badge
22,"
            You & me book
        ",12.00,12.00,"
                    (2,939)
                ","
    Etsy’s Pick
"
23,"
            Personalised Couple Bucket List Journal
        ",18.94,25.25,"
                    (19,145)
                ",No badge
24,"
            Personalized Wall Mount Custom Headstock Shapes
        ",40.92,58.46,"
                    (3,237)
                ",No badge
25,"
            Emergency Binder Planner Fillable Printable PDF, Life Binder, What If Binder, Just In Case of Emergency Planner,Medical Binder Life Planner
        ",20.41,51.02,"
                    (277)
                ",No badge
26,"
            Cosy Nights In Coupon Book: Indoor Date Ideas for Him or Her, Perfect Christmas or Valentine's Gift, Fun Couples' Token
        ",17.26,17.26,"
                    (5,824)
                ","
    Etsy’s Pick
"
27,"
            Personalized Leather Journal Notebook Diary, Leather Sketchbook, Travel Notebook, Christmas Gift
        ",33.00,55.00,"
                    (5,111)
                ",No badge
28,"
            Double Decker Musical Instrument Stand, Customisable for Two / 2 Guitars and more, Made In Ireland, Charcoal Black
        ",116.96,146.20,"
                    (337)
                ",No badge
29,"
            12"" Vinyl Record Mixtape Two Sided, Black, Fully Custom + Songs - Your Amazing Playlist On Vinyl, 20 Mins Per Side 40 Total WE PRESS FASTEST
        ",119.00,119.00,"
                    (5,839)
                ","
    Etsy’s Pick
"
30,"
            Personalized Recipe Notebook, Custom Engraved Kitchen Journal, Monogrammed Leather Recipe Book, Embossed Chef Notepad
        ",26.05,28.95,"
                    (12,126)
                ",No badge
31,"
            Personalised Children's Book, A Promise To You, Baptism Gift, Gift for Godchild, Grandchild, Gift for Niece Nephew, Personalized Story Book
        ",30.50,30.50,"
                    (21,918)
                ","
    Etsy’s Pick
"
32,"
            Bronze Guitar Pick Handmade with I Pick You - Custom Guitar Pick GP009
        ",22.40,32.00,"
                    (13,179)
                ",No badge
33,"
            A Brand New Scientific Guide to Gen 2 - Limited Edition Biology Artbook
        ",45.00,45.00,"
                    (6,086)
                ",No badge
34,"
            Leather Guitar Strap for Guitar Lovers, Personalized Guitarist Gift, Comfortable and Adjustable Guitar Strap
        ",54.60,78.00,"
                    (2,726)
                ",No badge
35,"
            15000+ ChatGPT Prompts | Make Money Online with AI | Passive Income | Digital Marketing l Business Growth l Small Business
        ",3.36,7.00,"
                    (1)
                ",No badge
36,"
            Fundamentals of tattooing, Complete tattoo step by step guide e-book from award winning artist. 30 fully covered pages and illustrations.
        ",28.23,28.23,"
                    (6)
                ",No badge
37,"
            Grand Piano Hand Cast Pewter Motif on Tan A6 Notebook - Piano Gift - Music Journal - Teacher Musician Music Gift - Dad Christmas Gift
        ",19.92,19.92,"
                    (9,152)
                ","
    Etsy’s Pick
"
38,"
            Intuitively Chosen Holographic Tarot Card Bookmark with mini reading, Popular Gifts for Him and Her, Book Accessories, Reading Supplies
        ",6.54,7.70,"
                    (5,461)
                ",No badge
39,"
            Open-back 5-string Banjo: Wildflower Meadow design
        ",350.00,350.00,"
                    (543)
                ","
    Etsy’s Pick
"
40,"
            Sword Bookmarks with Clip, Fun Book Dart, Sword Bookplates, Pack of Three or Four
        ",15.99,15.99,"
                    (786)
                ","
    Etsy’s Pick
"
41,"
            Personalized Travel Journal with Pockets and Envelopes, Choose your Map
        ",48.00,48.00,"
                    (1,839)
                ","
    Etsy’s Pick
"
42,"
            Personalized Leather Bookmark Gift Made Of Shell Cordovan Custom Engraved Emerald Green Luxury Minimalist By The Perfect Heart Page Holder
        ",39.99,39.99,"
                    (257)
                ","
    Etsy’s Pick
"
43,"
            Vintage Cowboy Books, Western Book Set, Wild West Horses, Book Covers, Cowboys and Indians
        ",105.00,105.00,"
                    (931)
                ","
    Etsy’s Pick
"
44,"
            Folder, A5, A6, 2-fold ring binder, points, SnapPap
        ",28.23,28.23,"
                    (1,784)
                ","
    Etsy’s Pick
"
45,"
            Personalised 1970s Beat The Book Quiz Book, 1970s Decade Nostalgia, 50th Birthday Gift for Men Women, 1970 Retro
        ",17.21,17.21,"
                    (21,918)
                ","
    Etsy’s Pick
"
46,"
            Personalized Wooden Guitar Picks with Case, Custom Guitar Pick Holder, Plectrum Box Guitar Player Gift, Father's Day, Gifts for Christmas
        ",7.37,10.53,"
                    (5,176)
                ",No badge
47,"
            Reading Journal for Book Lover | Book Tracker for Booktok or Book Nerd | Book Club Gift for Readers | Planner for Bookish Teacher Librarian
        ",26.00,26.00,"
                    (12,270)
                ","
    Etsy’s Pick
"
48,"
            Personalized Wooden Recipe Book Binder Custom Journal Cookbook Notebook Valentine's Day Bridal Shower Gift Daughter  Birthday Gift Gift Moms
        ",24.75,55.00,"
                    (6,854)
                ",No badge
49,"
            Your Wildest Dreams 2024 Wall Calendar. FREE SHIPPING! Playful, humorous animal friendships and adventures with beautiful landscapes
        ",21.95,21.95,"
                    (33)
                ",No badge
50,"
            The Premium Handcrafted Leather journal for Couples, Anniversaries & 40th Birthdays, 50th Birthdays, Business Notebook (400 pages)
        ",75.04,75.04,"
                    (16)
                ",No badge
51,"
            Personalized Wood Guitar Picks Case, Custom Engraved Guitar Pick Holder, Plectrum Box Guitar Player Gift, Father's Day, Gifts for Christmas
        ",7.37,10.53,"
                    (5,176)
                ",No badge
52,"
            Personalized Vintage Genuine Leather Journal, Leather Cord Coptic Bound and Leather Tie Closure, Handmade Deckle Edge Paper, Valentines Day
        ",31.00,124.00,"
                    (215)
                ",No badge
53,"
            Abandon Hope All Ye Who Enter Here - Art Journal - Mixed Paper Travel Journal
        ",43.86,43.86,"
                    (2,061)
                ","
    Etsy’s Pick
"
54,"
            Beige Books, Bookshelf Decor Fabric Books,  Decorative Books, Taupe Book Set, Cloth Book Collections, Neutral Shelf Decor,  Staging Books
        ",44.98,44.98,"
                    (936)
                ","
    Etsy’s Pick
"
55,"
            Little Book of Pasta Exploration of Italian Noodle Shapes Read Fun Facts & Phonics Board Book for Baby 0-12 Months Toddler Ages 1-4
        ",12.99,12.99,"
                    (379)
                ","
    Etsy’s Pick
"
56,"
            Musicians Stave Leather Journal - Handbound Songwriting Manuscript Book - Music Score - Staff Paper - 6 x 4 - Custom - A6
        ",33.23,33.23,"
                    (1,676)
                ","
    Etsy’s Pick
"
57,"
            Personalized Leather Journal Notebook Refillable, Antique A5 Notebook Cover, Genuine Leather Travel Journal, Rustic Leather Diary
        ",40.50,54.00,"
                    (11,260)
                ",No badge
58,"
            Custom-Personalized-Wood-Guitar Pick Box-Plectrum-Pick Case-Pick Holder-Musicians Gift-Gifts for Him-Guitar Player-Xmas gift-New Year gift
        ",36.11,55.55,"
                    (2,262)
                ",No badge
59,"
            Grandparent Memory Book: Family Tree Keepsake Journal - New Grandma Gift - Birthday or Christmas Gift for Dad - Nana Legacy Journal
        ",30.00,30.00,"
                    (12,270)
                ","
    Etsy’s Pick
"
60,"
            Refillable leather journal, personalized notebook, Customized journal, refillable journal
        ",68.97,86.21,"
                    (6,666)
                ",No badge
61,"
            Personalized Hand Embroidered Corner Bookmark, Felt Triangle Page Stitched Corner Handmade Bookmark
        ",10.87,14.49,"
                    (737)
                ",No badge
62,"
            Personalised You Got This Notebook - Lined Notebook - Blue Notebook - Customised Notebook - Empowering Notebook - Softback Notebook
        ",19.87,19.87,"
                    (965)
                ","
    Etsy’s Pick
"
63,"
            Pregnancy Journal / Modern Square Personalized Planner for Tracking Baby/ 8x8 Book / Gift for First Time Moms
        ",33.00,33.00,"
                    (4,500)
                ","
    Etsy’s Pick
"
64,"
            e-Reader Bag - Karin (custom-made e.g. for Kindle Paperwhite, Kindle Voyage, Tolino Shine 3, Tolino Vision 4 HD, etc.)
        ",35.15,35.15,"
                    (771)
                ","
    Etsy’s Pick
"
65,"
            High-Converting Etsy Listing Product Photography Template To Sell, Etsy Listing Mockup For Physical & Digital Products, Selling on Etsy Tips
        ",3.59,11.95,"
                    (19,163)
                ",No badge
66,"
            LASTCHANCE 40%OFF|Musical HandPan Steel Tongue Drum Music Steel Drum Tank Drum Tune In Happy Drum - Perfect Christmas Gift
        ",69.70,116.15,"
                    (623)
                ",No badge
67,"
            Baby Gifts | Personalized Kids Books | Amazing Zoo Adventure
        ",29.04,34.99,"
                    (270)
                ",No badge
68,"
            2024 Wall Calendar, MONDAY start, 12x18 or 11x14, Appointment Wall Planner, Home office decor, Minimal modern design, Gift for her (cal0176)
        ",49.95,49.95,"
                    (9,361)
                ",No badge
69,"
            Drawing sketchbook and pencils and leather cover, valentines day gifts sketch book personalized by name, birthday gift for girlfriend & boys
        ",77.00,77.00,"
                    (3,473)
                ","
    Etsy’s Pick
"
70,"
            Personalized Leather Journal Notebook Personalized Journal Personalized sketchbook
        ",42.87,53.59,"
                    (6,666)
                ",No badge
71,"
            Leather Bookmark Personalized 3rd Anniversary Bookmark To many more chapters together Leather Anniversary Bookmark Leather Anniversary
        ",28.95,28.95,"
                    (8,096)
                ","
    Etsy’s Pick
"
72,"
            Concrete Bookends & Symbol - Modern Unique Book ends - Office Bedroom Decor - Minimastic Home Decor
        ",66.44,66.44,"
                    (12)
                ","
    Etsy’s Pick
"
73,"
            Leather Journal Refillable, Leather Notebook, Travel Journal, A5 Notebook Cover, Leather Diary, Mother's Day Gift
        ",33.00,55.00,"
                    (5,111)
                ",No badge
74,"
            Personalised Daily Planner - Choice of Designs - A5 Undated Weekly & Daily Organiser - Gift for Her, Personalized Planner Notebook Organiser
        ",26.58,33.23,"
                    (21,132)
                ",No badge
75,"
            Set of 2 bookmarks double-sided forest woodland deer doe fox animals watercolor
        ",7.82,7.82,"
                    (2,635)
                ","
    Etsy’s Pick
"
76,"
            Real Leather Personalized Bookmarks | Heirloom Quality Handmade Bookmarks Perfect for Home, School, Office, Trips or Vacations | Read USA
        ",11.95,11.95,"
                    (3,068)
                ","
    Etsy’s Pick
"
77,"
            Mushroom bookmarks 5x15cm
        ",9.64,9.64,"
                    (483)
                ","
    Etsy’s Pick
"
78,"
            ODE + Ancient Greek lyre method Beginners and Intermediate
        ",137.19,137.19,"
                    (158)
                ","
    Etsy’s Pick
"
79,"
            Affirmation Cards Deck 'Be You'
        ",22.95,22.95,"
                    (3,179)
                ","
    Etsy’s Pick
"
80,"
            Guitar Pick Holder - The PickMate - Guitar Pick Holder, Guitar Accessory, Music Gift, Gift for Him, Dad Gift, Leather Guitar, Pick Storage
        ",32.00,40.00,"
                    (1,155)
                ",No badge
81,"
            Business Leather Portfolio, Personalized Leather Document Organizer, Portfolio Cover, Office Paper Case, Macbook Case, Custom Corporate Gift
        ",37.96,94.90,"
                    (884)
                ",No badge
82,"
            Walker & Williams GB-181 Bourbon Brown Brushed Celtic Chain Design Padded Strap
        ",38.95,38.95,"
                    (2,880)
                ",No badge
83,"
            Anxiety Therapy Workbook Printable Worksheets For Panic Worry and Stress Coping Skills Self Help Resource Bundle Mental Health Management
        ",3.47,13.88,"
                    (66)
                ",No badge
84,"
            Wooden Notebook with natural leather / A5 / Wood Book Personalized Gifts for Her / Wild Forest
        ",59.00,59.00,"
                    (30)
                ",No badge
85,"
            Personalized Latitude and Longitude Coordinates Bronze Guitar Pick - GP559
        ",23.80,34.00,"
                    (13,179)
                ",No badge
86,"
            Custom 12"" Vinyl Record - Handcrafted with Your Music and Artwork
        ",120.00,120.00,"
                    (1,194)
                ","
    Etsy’s Pick
"
87,"
            pantry bookmark
        ",4.66,4.66,"
                    (1,579)
                ","
    Etsy’s Pick
"
88,"
            Lettering Guide, lettering practice sheets, Lettering workbook, Modern Calligraphy, Brush Lettering, learn hand lettering
        ",39.00,39.00,"
                    (1,461)
                ","
    Etsy’s Pick
"
89,"
            Personalized Bookmark | Custom Bookmark | Custom Pet Photo Gift | Dog Mom Present | Personalized Dog Magnetic Bookmark
        ",14.99,14.99,"
                    (1,399)
                ","
    Etsy’s Pick
"
90,"
            Refillable Leather Journal, Personalised A5 Handmade Rustic Leather Notebook , Vintage Diary Sketchbook, Personalised Christmas Gift
        ",47.45,55.82,"
                    (1,380)
                ",No badge
91,"
            Leather notebook cover with pockets,Leather personalized journal,Refillable journal cover,Leather notebook cover A5,Leather notebook sleeve
        ",46.20,66.00,"
                    (2,134)
                ",No badge
92,"
            Personalised First Valentine's Day Book for Daddy, Valentine's Gift for Mummy, Baby's First Valentine Gift, Valentine's Day Book
        ",30.50,30.50,"
                    (21,918)
                ","
    Etsy’s Pick
"
93,"
            Custom Wood Guitar Pick - Handmade Wood Guitar Pick -  Engraved Wooden Guitar Pick- Personalized Wood Guitar Pick - 1 Wood Guitar Pick
        ",5.00,5.00,"
                    (11,779)
                ","
    Etsy’s Pick
"
94,"
            Acoustic Guitar design A6 Tan Notebook - Music Journal - Christmas Gift for Him - Music Teacher Gift - Musician Music Gift- Guitarist Gift
        ",19.92,19.92,"
                    (9,152)
                ","
    Etsy’s Pick
"
95,"
            Personalized metal Bookmark Retirement Gift For Women, Enjoy The Next Chapter Graduation Gift, gift for new mom, grandma gift, bookish gift
        ",20.00,20.00,"
                    (2,949)
                ","
    Etsy’s Pick
"
96,"
            Personalized Journal, Notebook, Personalized Journal, Personalized Notebook, Journal
        ",14.94,29.88,"
                    (11,389)
                ",No badge
97,"
            2024 Smart Calendar - BIG / GIANT - Make 2024 the Best Year ever with this Amazing Tool! 2 Sizes - Home/Fitness/Goals/Wall Calendar/Tracker
        ",17.00,20.00,"
                    (542)
                ",No badge
98,"
            Book Stamp Embosser Stamp Floral Custom Name Embosser 10+ Designs From the Library of, Book Belongs to, Ex Libris, great Book Lover Gift
        ",23.00,23.00,"
                    (36,689)
                ",No badge
99,"
            Custom Leather Portfolio, Personalized Padfolio for Women, Gifts for Her, Christmas Gift for Men, A5 Journal Cover
        ",75.60,75.60,"
                    (108)
                ",No badge
100,"
            2024 LUNAR CALENDAR, Daily Moon Phase Calendar, Celestial Wall Art, A7 5"" x 7"" Print on Pearl Shimmer Premium Cardstock, Color Oasis Hawaii
        ",5.00,10.00,"
                    (13,269)
                ",No badge
101,"
            Toy Tuba, Baby Tuba, Tuba, Plush Tuba, Stuffed Tuba, Felt Tuba, Toy Instruments, Felt Toys, Pretend Play, Baby Instruments, Music Nursery
        ",65.50,65.50,"
                    (225)
                ","
    Etsy’s Pick
"
102,"
            Custom bookmarks, Personalized Resin Bookmark, Handmade Bookmark, Gift ,Bookmark, Custom Bookmark ,Christmas, personalized gift,gift for her
        ",9.71,9.71,"
                    (905)
                ","
    Etsy’s Pick
"
103,"
            Leather Notebook,Skull Notebook,Leather Sketchbook,Handmade notebook,Diary book,
        ",42.85,57.13,"
                    (160)
                ",No badge
104,"
            Personalized Metal Guitar Capo with Wood Grain, Custom Message Capo, Engraved Guitar Pick, Birthday Gift, Fathers days Gift for Guitarists
        ",19.51,27.87,"
                    (5,176)
                ",No badge
105,"
            Vinyl LP Record Storage Display | Solid Black Walnut | 12"" Vinyl Album Storage | Vinyl Record Holder | Zero-VOC Finish
        ",126.59,126.59,"
                    (1,333)
                ","
    Etsy’s Pick
"
106,"
            Leather Journal Cover for Moleskine Cahier Notebook Pocket size 3.5"" x 5.5"" Field Notes Cover Personalized Gift Refillable Pocket Cover
        ",13.79,45.98,"
                    (27,276)
                ",No badge
107,"
            Manacled Bookmark, Dramione Bookmark, Dark Green Velvet Ribbon Bookmark, Bookish Merch, Book Accessory, Draco and Hermione Bookmark
        ",12.50,12.50,"
                    (968)
                ","
    Etsy’s Pick
"
108,"
            Engraved Leather Bookmark, Handwritten Note Bookmark Custom 3rd Anniversary Gift for Him Cute Valentine Day Gift Idea for Her
        ",15.99,15.99,"
                    (17,049)
                ","
    Etsy’s Pick
"
109,"
            Personalized Leather Bookmark, Floral Design Bookmark Custom Birthday Gift Ideas, Bookmark for Friends, Sisters Keepsake, Birth Month Flower
        ",9.16,22.90,"
                    (5,450)
                ",No badge
110,"
            Brown Leather Journal
        ",35.89,35.89,"
                    (2)
                ","
    Etsy’s Pick
"
111,"
            Decorative Book Set in Shades of Yellow
        ",60.30,67.00,"
                    (1,118)
                ",No badge
112,"
            Custom Library Embosser, Personalized Embosser, Embossing Seal, Library, Penelope, Book Embosser, Ex Libris Embosser, Book Stamp, Book Gift
        ",46.00,46.00,"
                    (5,832)
                ","
    Etsy’s Pick
"
113,"
            Vintage & Antique Books by Color  foot | Designer Grade Authentic Books|
        ",45.99,45.99,"
                    (3,010)
                ",No badge
114,"
            Scientific Guide to Gen 1 - Limited Edition Biology Artbook - Anatomy Coffee-Table Artbook - Original 151 - Limited Print Run
        ",55.00,55.00,"
                    (6,086)
                ",No badge
115,"
            Digital Planners - Ultimate Collection Bundle for iPad, Android, reMarkabe, BOOX Note Air, Supernote, Kindle Scribe, Goodnotes, Notability
        ",18.87,37.74,"
                    (4,893)
                ",No badge
116,"
            Baby Gift, Personalized Children's Book with Farm Animals, Custom Name Book, Sweet Dreams Little Name, Bedtime Book, Book with 30 Pages
        ",29.96,39.95,"
                    (2,390)
                ",No badge
117,"
            Reading Journal (Avid Reader) - 104 Reviews
        ",29.95,29.95,"
                    (1,371)
                ","
    Etsy’s Pick
"
118,"
            Solid Oak Personalised Bookend / Bookworm Gift / Academic Gifts / Book Lover Gift / Graduation Present / Bookends / Reading Gift Book Holder
        ",53.16,53.16,"
                    (8,458)
                ","
    Etsy’s Pick
"
119,"
            Personalized Comic Book Monthaversary Gift | Boyfriend Monthaversary Gift | Girlfriend Monthaversary Gift | Geek Gift
        ",29.99,42.84,"
                    (3,481)
                ",No badge
120,"
            Rare Original '84 PRINCE and the Revolution Purple Rain Warner Bros Records Vintage U.S Vinyl Press Soundtrack Lp Near Mint! w/ POSTER L@@K
        ",149.99,149.99,"
                    (1,382)
                ","
    Etsy’s Pick
"
121,"
            Moon and Star Purple Velvet Ribbon Bookmark| Bookish Gift |Book Lover Gift|Reader Gift | Moon and Stars Bookmark |Charmed Bookmark
        ",10.50,10.50,"
                    (968)
                ","
    Etsy’s Pick
"
122,"
            Cocktail Recipe Book Bar Recipe Book Bartender Gift Cocktail Binder Blank Leather Recipe Book Cocktail Journal Mixology Gifts Hostess Gift
        ",16.20,27.00,"
                    (2,472)
                ",No badge
123,"
            Personalised Hardcover Notebook -- Personalised Notebook -- Hardcover Notebook -- Layflat Notebook -- Custom Journal
        ",39.21,39.21,"
                    (5,244)
                ","
    Etsy’s Pick
"
124,"
            Bookmark *customizable* Bookmark Cognac leather
        ",17.57,17.57,"
                    (275)
                ","
    Etsy’s Pick
"
125,"
            Self Care Planner For Mindfulness, Self love, Wellbeing And Reflection
        ",34.56,34.56,"
                    (292)
                ","
    Etsy’s Pick
"
126,"
            Cool Canard Doorstop / Bookend. duck doorstop. flat packed. home decor. Funny doorstops. Animal doorstops. unique gift. house warming
        ",27.83,27.83,"
                    (2,138)
                ","
    Etsy’s Pick
"
127,"
            Meal Planner Printable, Weekly Food Diary, Meal Tracker, Food Journal, Menu Plan & Prep, BONUS Grocery List! Diet, Fitness, Health, Pink
        ",2.22,3.71,"
                    (31,753)
                ",No badge
128,"
            Concrete Bookends Apostrophe Symbol - Modern Unique Book ends - Office Bedroom Decor - Minimalistic Home Decor
        ",66.44,66.44,"
                    (12)
                ","
    Etsy’s Pick
"
129,"
            Personalized Book - You and the Rainbowbird | Your Child helps Rainbowbird | Kids' story about Kindness | Personalised Gift | Ages 5 - 10
        ",14.99,29.99,"
                    (1,058)
                ",No badge
130,"
            Manifestation Journal Digital, 369 Manifesting Planner ipad, GoodNotes Printable Journaling Workbook Law of Attraction, Money Manifestation
        ",2.69,8.95,"
                    (10)
                ",No badge
131,"
            reMarkable Reading Journal | Booktrovert Book Reading List | reMarkable 2 Template
        ",9.95,9.95,"
                    (46)
                ",No badge
132,"
            Personalized Leather Journal, Leather Custom Notebook Cover Refillable, Notepad/Diary/Sketchbook, Prayer Journal, Men/Women/Graduation gifts
        ",42.65,85.31,"
                    (1,094)
                ",No badge
133,"
            Retro Field of Flowers ( Campo di fiori retro) Printed Soft Italian Leather Journal, Notebook- Handmade in Italy
        ",54.95,54.95,"
                    (2,677)
                ","
    Etsy’s Pick
"
134,"
            Personalized Poetry Journal | Custom Poetry Book | Personalized Notebook For Poet | Songwriting Journal | Poetry Gift For Writer, Author
        ",21.24,24.99,"
                    (889)
                ",No badge
135,"
            TBR Cards | To Be Read Prompts | Card Deck | TBR Game | Book Gift | Bookish Gifts | Reader Present | TBR Jar Alternative | Love Reading
        ",17.26,17.26,"
                    (1,144)
                ","
    Etsy’s Pick
"
136,"
            Drink Wine Read Books Be Happy vintage spoon bookmark, Girlfriend Gift, Christmas Gift, Stocking Stuffer, Wine gift, Gift for Mom
        ",15.00,15.00,"
                    (10,591)
                ","
    Etsy’s Pick
"
137,"
            Personalised Notebook - Birth Flower Pattern Notebook - Birth Month Flower Gift
        ",22.53,22.53,"
                    (5,244)
                ","
    Etsy’s Pick
"
138,"
            Personalized Wish Children's Book - Personalised Christening Gift, New Baby Gift | First birthday Gift Idea for Baby, Kids
        ",28.65,35.82,"
                    (16,951)
                ",No badge
139,"
            Bookmark Boho Arrow, Small Personalized Bookish Gift for Boho Loving Bookworms, Reading Bookclub Party Favors, Stocking Stuffer.
        ",28.99,28.99,"
                    (1,296)
                ","
    Etsy’s Pick
"
140,"
            Monochrome Bookmark. Personalized Leather Bookmark. Monogrammed Bookmark. Leather Bookmark. Monochrome Leather Bookmark. Custom Bookmark.
        ",11.88,13.20,"
                    (29,505)
                ",No badge
141,"
            Personalized Journal, Journal Notebook, Journals And Notebooks, Notebook Journal, Personalized Journal By Happy Planner
        ",14.94,29.88,"
                    (11,389)
                ",No badge
142,"
            Peeking Cat Bookend | Minimalist bookends unique | Funny cat lover gift | Book lover gift | Book display shelf | Book ends | Unique bookends
        ",22.66,22.66,"
                    (260)
                ","
    Etsy’s Pick
"
143,"
            9 Vintage French Grid Square Ecole Cahier School Notebooks For Decoration Scrapbooking Writing Journal
        ",82.77,82.77,"
                    (26)
                ","
    Etsy’s Pick
"
144,"
            bronze guitar pick for dad - perfect playable gift for dad
        ",24.50,35.00,"
                    (13,179)
                ",No badge
145,"
            Year of the Dragon hardcover journal, 2024 journal, 2024 Year of the Dragon, Dragon hardcover journal
        ",19.95,19.95,"
                    (7)
                ",No badge
146,"
            Zodiac Personalized Leather Journal, Engraved Journal, Custom Notebook, Astrology Gift, Zodiac Gift, Grimoire Dream Journal, Gift for Her
        ",14.90,24.83,"
                    (335)
                ",No badge
147,"
            Digital OCD Workbook | OCD Resources | ocd Therapy Planner | OCD Recovery | ocd worksheet | ocd support | ocd Help | ocd  Digital Planner
        ",2.75,5.50,"
                    (50)
                ",No badge
148,"
            Personalized Bible Cover Gift for Men, Christmas Gift, The New International Version (NIV) included, Christian Gift.
        ",36.00,36.00,"
                    (29)
                ",No badge
149,"
            My Little Book Of Spells vintage-like planner A5
        ",33.90,33.90,"
                    (529)
                ","
    Etsy’s Pick
"
150,"
            Five-year diary
        ",38.48,38.48,"
                    (34)
                ","
    Etsy’s Pick
"
151,"
            Picture Book Personalised for Children - Gift for Niece, Nephew, Keepsake, Gift for Young Kids - Grandchildren Gifts - NEXT DAY DISPATCH
        ",52.10,52.10,"
                    (6,062)
                ","
    Etsy’s Pick
"
152,"
            Personalised 1980s Nostalgia Survival Book, UK British Nostalgia Book for 80s Kids, Growing Up in The 1980s, UK Nostalgia Gift Handbook
        ",17.21,17.21,"
                    (21,918)
                ","
    Etsy’s Pick
"
153,"
            Basic Skill Embroidery on Paper flower Course
        ",75.40,75.40,"
                    (145)
                ","
    Etsy’s Pick
"
154,"
            TBR Jar - To Be Read List - Choose Your Next Book - Bookworm Gift - Book Lover - Bibliophile - Book Club - Bookshelf Decor - Bookish Decor
        ",17.50,17.50,"
                    (288)
                ","
    Etsy’s Pick
"
155,"
            Wooden Mountains Bookends Decor - 1 Set (of 2 Ends) - Multiple Colors! - Minerd Design
        ",45.00,45.00,"
                    (66)
                ","
    Etsy’s Pick
"
156,"
            Indra Handmade Leather Wrap Refillable Journal A5 Copper (21cm x 15cm x 2cm) Can be Personalised!
        ",31.90,31.90,"
                    (5,551)
                ","
    Etsy’s Pick
"
